User,Time,Working Directory,Command,Duration
10.103.130.145,2022-04-18 12:58:34,/home/ubuntu,sudo reboot ,0:00:00
10.103.130.145,2022-04-18 12:58:45,/home/ubuntu,uname -a,0:00:11
10.103.130.145,2022-04-18 12:58:58,/home/ubuntu,uname -a,0:00:13
10.103.130.147,2022-04-18 09:41:33,/home/ubuntu,exit,0:00:00
10.103.130.147,2022-04-18 09:41:46,/home/ubuntu,cd /home/ubuntu/,0:00:13
10.103.130.147,2022-04-18 09:41:48,/home/ubuntu,ls -la,0:00:02
10.103.130.147,2022-04-18 09:49:51,/home/ubuntu,"grep -A 2 ""bash_history"" memory.dmp.strings",0:08:03
10.103.130.147,2022-04-18 09:50:47,/home/ubuntu,"grep -A 2 ""s.txt"" memory.dmp.strings",0:00:56
10.103.130.147,2022-04-18 10:06:04,/home/ubuntu,"grep -A 2 ""s.txt"" memory.dmp.strings",0:15:17
10.103.130.147,2022-04-18 11:05:27,/home/ubuntu,"grep -A 2 ""bash_history"" memory.dmp.strings",0:59:23
10.103.130.147,2022-04-18 11:18:13,/home/ubuntu,"grep ""s.txt"" memory.dmp.strings",0:12:46
10.103.130.118,2022-04-18 04:59:15,/home/ubuntu,sudo reboot,0:00:00
10.103.130.118,2022-04-18 04:59:24,/home/ubuntu,uname -a,0:00:09
10.103.130.118,2022-04-18 05:01:40,/home/ubuntu,uname -a,0:02:16
10.103.130.118,2022-04-18 05:05:03,/home/ubuntu/volatility,cd volatility,0:03:23
10.103.130.118,2022-04-18 05:05:28,/home/ubuntu/volatility/tools,cd tools/,0:00:25
10.103.130.118,2022-04-18 05:05:30,/home/ubuntu/volatility/tools,ls,0:00:02
10.103.130.118,2022-04-18 05:05:34,/home/ubuntu/volatility/tools/linux,cd linux/,0:00:04
10.103.130.118,2022-04-18 05:05:35,/home/ubuntu/volatility/tools/linux,ls,0:00:01
10.103.130.118,2022-04-18 05:06:04,/home/ubuntu/volatility/tools/linux,make,0:00:29
10.103.130.118,2022-04-18 05:15:08,/home/ubuntu/volatility/tools/linux,make,0:09:04
10.103.130.118,2022-04-18 05:15:10,/home/ubuntu/volatility/tools/linux,ls,0:00:02
10.103.130.118,2022-04-18 05:15:12,/home/ubuntu/volatility/tools,cd ..,0:00:02
10.103.130.118,2022-04-18 05:15:13,/home/ubuntu/volatility/tools,ls,0:00:01
10.103.130.118,2022-04-18 05:15:14,/home/ubuntu/volatility,cd ..,0:00:01
10.103.130.118,2022-04-18 05:15:15,/home/ubuntu/volatility,ls,0:00:01
10.103.130.118,2022-04-18 05:15:24,/home/ubuntu/volatility,ls,0:00:09
10.103.130.118,2022-04-18 05:16:15,/home/ubuntu/volatility,python vol.py -f /home/ubuntu/memory.dmp --profile=LinuxUbuntu_4_15_0-112-generic_profilex64 linux_psscan,0:00:51
10.103.130.118,2022-04-18 05:19:19,/home/ubuntu/volatility,sudo python vol.py -f /home/ubuntu/memory.dmp --profile=LinuxUbuntu_4_15_0-112-generic_profilex64 linux_recover_filesystem -D filesystem,0:03:04
